Card Family,,,,Parallel,,,Seq.
,,,,,,,
3000 Hit Club Medallion Cards,,,,Bronze,,,
3000 Hit Club Medallion Cards,,,,Gold,,,50
3000 Hit Club Medallion Cards,,,,Platinum,,,10
500 Futures,,,,Silver,,,
500 Futures,,,,Gold,,,
500 Futures Medallion Cards,,,,Bronze,,,
500 Futures Medallion Cards,,,,Gold,,,50
500 Futures Medallion Cards,,,,Platinum,,,10
All Star Stitches,,,,Gold,,,50
All Star Stitches,,,,Platinum,,,1
Rookie Autographs,,,,Variations,,,5
Base,,,,Black,,,65
Base,,,,Black and white negatives,,,
Base,,,,Gold,,,2016
Base,,,,Pink,,,50
Base,,,,Platinum,,,1
Base,,,,Printing Plate Black,,,1
Base,,,,Printing Plate Cyan,,,1
Base,,,,Printing Plate Magenta,,,1
Base,,,,Printing Plate Yellow,,,1
Base,,,,Purple,,,
Base,,,,Rainbow Foil,,,
Base,,,,Silver Frame,,,1
