Card Family,Parallel,Seq.
Autographs,Gold Refractor,50
Autographs,Orange Refractor,25
Autographs,Red Refractor,5
Autographs,SuperFractor,1
Autographs,X-Fractor,125
Base,Blue Refractor,150
Base,Gold Refractor,50
Base,Green Refractor,99
Base,Orange Refractor,25
Base,Pink Refractor,
Base,Printing Plates Black,1
Base,Printing Plates Cyan,1
Base,Printing Plates Magenta,1
Base,Printing Plates Yellow,1
Base,Purple Refractor,175
Base,Red Refractor,5
Base,Refractor,250
Base,SuperFractor,1
Base,X-Fractor,199
