Card Family,Parallel,Seq.
Base,Refractor,499
Base,Purple Refractor,250
Base,Blue Refractor,150
Base,Green Refractor,99
Base,Gold Refractor,50
Base,Orange Refractor,25
Base,Red Refractor,5
Base,SuperFractor,1
Prospects,Refractor,499
Prospects,Purple Refractor,250
Prospects,Blue Refractor,150
Prospects,Green Refractor,99
Prospects,Gold Refractor,50
Prospects,Orange Refractor,25
Prospects,Red Refractor,5
Prospects,SuperFractor,1
Prospects,Purple Shimmer Refractor,655
Prospects,Green Shimmer Refractor,99
Prospects,Gold Shimmer Refractor,50
Prospects,Orange Shimmer Refractor,25
Prospects,Red Shimmer Refractor,5
Prospects,Black Shimmer Refractor,1
Rookie Short Print Image Variation Autographs,Base,25
Rookie Short Print Image Variation Autographs,SuperFractor,1
Prospects Autographs,Refractor,499
Prospects Autographs,Purple Refractor,250
Prospects Autographs,Blue Refractor,150
Prospects Autographs,Atomic Refractor,100
Prospects Autographs,Green Refractor,99
Prospects Autographs,Green Shimmer Refractor,99
Prospects Autographs,Gold Refractor,50
Prospects Autographs,Orange Refractor,25
Prospects Autographs,Orange Shimmer Refractor,25
Prospects Autographs,Yellow Shimmer Refractor,10
Prospects Autographs,Red Refractor,5
Prospects Autographs,Red Shimmer Refractor,5
Prospects Autographs,SuperFractor,1
Prospects Autographs,Printing Plates,1
Prospects Autographs,Blue Mojo Refractor,150
Prospects Autographs,Green Atomic Refractor,99
Prospects Autographs,Gold Shimmer Refractor,50
Prospects Autographs,Orange Wave Refractor,25
Prospects Autographs,Black Mojo Refractor,1
Rookie Autographs,Atomic Refractor,
Rookie Autographs,Refractor,499
Rookie Autographs,Blue Refractor,150
Rookie Autographs,Green Refractor,99
Rookie Autographs,Gold Refractor,50
Rookie Autographs,Orange Refractor,25
Rookie Autographs,Red Refractor,5
Rookie Autographs,SuperFractor,1
Rookie Autographs,Printing Plates,1
Chrome Autographed Relics,Gold Refractor,50
Chrome Autographed Relics,Orange Refractor,25
Chrome Autographed Relics,SuperFractor,1
2017 AFL Fall Stars Autographs,SuperFractor,1
2017 AFL MVP Short Print,Base,250
2017 AFL MVP Short Print,SuperFractor,1
2017 AFL Fall Stars Relics,Orange Refractor,25
2017 AFL Fall Stars Relics,SuperFractor,1
2017 AFL Fall Stars Autograph Relics,Base,25
2017 AFL Fall Stars Autograph Relics,SuperFractor,1
All-America Game Autographs,Base,199
2018 Bowman Sterling Continuity Autographs,Base,99
2018 Bowman Sterling Continuity Autographs,Orange Refractor,25
2018 Bowman Sterling Continuity Autographs,SuperFractor,1
Peaks of Potential Autographs,Base,99
Peaks of Potential Autographs,Orange Refractor,25
Peaks of Potential Autographs,SuperFractor,1
Prime Chrome Signatures,Base,50
Prime Chrome Signatures,Orange Refractor,25
Prime Chrome Signatures,SuperFractor,1
2017 AFL Fall Stars,Atomic Refractor,150
2017 AFL Fall Stars,Orange Refractor,25
2017 AFL Fall Stars,SuperFractor,1
2017 AFL MVP Short Print Autographs,SuperFractor,1
2018 Bowman Sterling Continuity,Atomic Refractor,150
2018 Bowman Sterling Continuity,Orange Refractor,25
2018 Bowman Sterling Continuity,SuperFractor,1
Peaks of Potential,Atomic Refractor,150
Peaks of Potential,Orange Refractor,25
Peaks of Potential,SuperFractor,1
