BASE,,,
13,Domingo Santana,Milwaukee Brewers,
15,Chris Davis,Baltimore Orioles®,
17,Zach Davies,Milwaukee Brewers,
18,Matt Carpenter,St. Louis Cardinals®,
19,Wilmer Flores,New York Mets®,
20,Anthony Rizzo,Chicago Cubs®,
21,Mitch Haniger,Seattle Mariners,
22,Bryce Harper,Washington Nationals®,
23,Sean Manaea,Oakland Athletics,
24,Charlie Blackmon,Colorado Rockies,
25,Aaron Judge,New York Yankees®,Rookie Cup
26,Tommy Pham,St. Louis Cardinals®,
27,Jacoby Ellsbury,New York Yankees®,
28,Craig Kimbrel,Boston Red Sox®,
29,Andrelton Simmons,Los Angeles Angels,
30,Miguel Sano,Minnesota Twins®,
32,Steven Souza Jr.,Tampa Bay Rays,
33,Gio Gonzalez,Washington Nationals®,
34,Tommy Joseph,Philadelphia Phillies®,
35,Jose Altuve,Houston Astros®,
36,Chris Owings,Arizona Diamondbacks®,
37,Adam Jones,Baltimore Orioles®,
38,Fernando Rodney,Arizona Diamondbacks®,
39,Ty Blach,San Francisco Giants®,
40,Miguel Cabrera,Detroit Tigers®,
41,Anthony Rendon,Washington Nationals®,
42,David Wright,New York Mets®,
43,Jon Lester,Chicago Cubs®,
44,Gregory Polanco,Pittsburgh Pirates®,
45,Corey Seager,Los Angeles Dodgers®,
48,Joey Gallo,Texas Rangers®,
49,Stephen Vogt,Milwaukee Brewers,
50,Andrew McCutchen,Pittsburgh Pirates®,
51,Brandon Crawford,San Francisco Giants®,
53,Dansby Swanson,Atlanta Braves,
54,Blake Snell,Tampa Bay Rays,
55,Aaron Sanchez,Toronto Blue Jays®,
56,Derek Fisher,Houston Astros®,
58,Justin Verlander,Houston Astros®,
59,Albert Pujols,Los Angeles Angels,
60,Justin Upton,Los Angeles Angels,
61,Bradley Zimmer,Cleveland Indians®,
62,Eric Thames,Milwaukee Brewers,
63,Ian Happ,Chicago Cubs®,Rookie Cup
64,Johnny Cueto,San Francisco Giants®,
65,DJ LeMahieu,Colorado Rockies,
67,Max Scherzer,Washington Nationals®,
68,Mikie Mahtook,Detroit Tigers®,
69,James Paxton,Seattle Mariners,
70,Joey Votto,Cincinnati Reds®,

71,Eric Hosmer,Kansas City Royals®,
72,Jacob deGrom,New York Mets®,
73,Max Kepler,Minnesota Twins®,
74,Giancarlo Stanton,New York Yankees®,
75,Jonathan Schoop,Baltimore Orioles®,
76,Greg Holland,Colorado Rockies,
77,Brian McCann,Houston Astros®,
80,Kris Bryant,Chicago Cubs®,
82,Yonder Alonso,Seattle Mariners,
83,Dexter Fowler,St. Louis Cardinals®,
84,Mike Clevinger,Cleveland Indians®,
85,Mike Zunino,Seattle Mariners,
87,Starlin Castro,Miami Marlins®,
88,Corey Dickerson,Tampa Bay Rays®,
89,Adam Duvall,Cincinnati Reds®,
90,Noah Syndergaard,New York Mets®,
91,Josh Donaldson,Toronto Blue Jays®,
92,Stephen Strasburg,Washington Nationals®,
93,Mike Moustakas,Kansas City Royals®,
94,Kenta Maeda,Los Angeles Dodgers®,
95,Kevin Gausman,Baltimore Orioles®,
96,Jonathan Lucroy,Colorado Rockies,
97,Jose Abreu,Chicago White Sox®,
98,Troy Tulowitzki,Toronto Blue Jays®,
100,Felix Hernandez,Seattle Mariners,
101,Salvador Perez,Kansas City Royals®,
102,Edwin Diaz,Seattle Mariners,
104,Trea Turner,Washington Nationals®,
105,Josh Harrison,Pittsburgh Pirates®,
108,Billy Hamilton,Cincinnati Reds®,
109,Chris Sale,Boston Red Sox®,
110,Rougned Odor,Texas Rangers®,
111,Michael Pineda,New York Yankees®,
113,Justin Bour,Miami Marlins®,
115,Kendall Graveman,Oakland Athletics,
116,Stephen Piscotty,St. Louis Cardinals®,
118,Cody Bellinger,Los Angeles Dodgers®,Rookie Cup
119,Alex Bregman,Houston Astros®,
120,Brad Peacock,Houston Astros®,
121,Kolten Wong,St. Louis Cardinals®,
122,Ian Desmond,Colorado Rockies,
123,Carson Fulmer,Chicago White Sox®,
124,Kendrys Morales,Toronto Blue Jays®,
125,Nicholas Castellanos,Detroit Tigers®,
126,Jose Quintana,Chicago Cubs®,
128,Ender Inciarte,Atlanta Braves,
129,Randal Grichuk,St. Louis Cardinals®,
130,Andrew Benintendi,Boston Red Sox®,Rookie Cup
131,Scott Schebler,Cincinnati Reds®,
132,Maikel Franco,Philadelphia Phillies®,
133,Rick Porcello,Boston Red Sox®,
134,Kevin Kiermaier,Tampa Bay Rays®,

137,Martin Prado,Miami Marlins®,
138,Aaron Hicks,New York Yankees®,
139,Jose Bautista,Toronto Blue Jays®,
140,Aroldis Chapman,New York Yankees®,
141,Johan Camargo,Atlanta Braves,
142,Danny Duffy,Kansas City Royals®,
143,A.J. Pollock,Arizona Diamondbacks®,
144,Travis d'Arnaud,New York Mets®,
145,Francisco Lindor,Cleveland Indians®,
146,Hanley Ramirez,Boston Red Sox®,
147,Jharel Cotton,Oakland Athletics,
148,Carlos Beltran,Houston Astros®,
149,Andrew Cashner,Texas Rangers®,
150,Josh Hader,Milwaukee Brewers,Rookie Cup
151,Manny Machado,Baltimore Orioles®,
152,Tim Anderson,Chicago White Sox®,
153,Elvis Andrus,Texas Rangers®,
154,Devon Travis,Toronto Blue Jays®,
155,Orlando Arcia,Milwaukee Brewers,
156,Jordy Mercer,Pittsburgh Pirates®,
157,Cody Allen,Cleveland Indians®,
158,Joe Mauer,Minnesota Twins®,
159,Jay Bruce,Cleveland Indians®,
161,Yu Darvish,Los Angeles Dodgers®,
170,Marcell Ozuna,St. Louis Cardinals®,
171,Javier Baez,Chicago Cubs®,
172,Jean Segura,Seattle Mariners,
174,Welington Castillo,Chicago White Sox®,
175,Gerrit Cole,Pittsburgh Pirates®,
176,Corey Kluber,Cleveland Indians®,
177,Sonny Gray,New York Yankees®,
178,Archie Bradley,Arizona Diamondbacks®,
180,Jordan Montgomery,New York Yankees®,Rookie Cup
181,Mark Reynolds,Colorado Rockies,
184,Hector Neris,Philadelphia Phillies®,
185,Starling Marte,Pittsburgh Pirates®,
186,Guillermo Heredia,Seattle Mariners,
188,Aaron Nola,Philadelphia Phillies®,
190,Dinelson Lamet,San Diego Padres,
191,Gary Sanchez,New York Yankees®,
192,Tanner Roark,Washington Nationals®,
193,Taijuan Walker,Arizona Diamondbacks®,
194,Roberto Osuna,Toronto Blue Jays®,
195,Adam Wainwright,St. Louis Cardinals®,
196,Evan Gattis,Houston Astros®,
197,Jeff Samardzija,San Francisco Giants®,
198,Hunter Renfroe,San Diego Padres®,
199,Jason Kipnis,Cleveland Indians®,
200,Pat Neshek,Colorado Rockies,
201,Yoan Moncada,Chicago White Sox®,
202,Dallas Keuchel,Houston Astros®,
203,Carlos Asuaje,San Diego Padres,

204,Travis Shaw,Milwaukee Brewers,
205,Cameron Maybin,Houston Astros®,
207,Jorge Polanco,Minnesota Twins®,
208,Yuli Gurriel,Houston Astros®,
209,Dee Gordon,Seattle Mariners,
210,Jesse Winker,Cincinnati Reds®,
211,Brandon Nimmo,New York Mets®,
212,Didi Gregorius,New York Yankees®,
213,Ervin Santana,Minnesota Twins®,
215,Brett Gardner,New York Yankees®,
216,Clayton Kershaw,Los Angeles Dodgers®,
217,A.J. Ramos,New York Mets®,
218,Masahiro Tanaka,New York Yankees®,
219,Freddie Freeman,Atlanta Braves,
220,Carlos Carrasco,Cleveland Indians®,
221,Yoenis Cespedes,New York Mets®,
222,Steve Pearce,Toronto Blue Jays®,
223,Caleb Joseph,Baltimore Orioles®,
225,Sean Newcomb,Atlanta Braves,
227,Delino DeShields,Texas Rangers®,
228,Wilson Ramos,Tampa Bay Rays,
229,Matt Holliday,New York Yankees®,
230,Ryan Zimmerman,Washington Nationals®,
231,Kole Calhoun,Los Angeles Angels,
232,Yadier Molina,St. Louis Cardinals®,
233,Kyle Seager,Seattle Mariners,
234,Zack Greinke,Arizona Diamondbacks®,
236,Joc Pederson,Los Angeles Dodgers®,
237,Chris Rusin,Colorado Rockies,
239,Mike Foltynewicz,Atlanta Braves,
240,Justin Smoak,Toronto Blue Jays®,
241,Addison Russell,Chicago Cubs®,
242,Jimmy Nelson,Milwaukee Brewers,
243,Keon Broxton,Milwaukee Brewers,
245,C.J. Cron,Los Angeles Angels,
246,Jose Reyes,New York Mets®,
247,Willson Contreras,Chicago Cubs®,
248,CC Sabathia,New York Yankees®,
249,Marcus Stroman,Toronto Blue Jays®,
250,Trey Mancini,Baltimore Orioles®,Rookie Cup
251,Matt Kemp,Atlanta Braves,
252,Matt Davidson,Chicago White Sox®,
253,Luke Weaver,St. Louis Cardinals®,
254,Joe Panik,San Francisco Giants®,
255,Adam Eaton,Washington Nationals®,
257,Hunter Pence,San Francisco Giants®,
258,Tyler Glasnow,Pittsburgh Pirates®,
259,Brandon McCarthy,Los Angeles Dodgers®,
260,Khris Davis,Oakland Athletics,
261,Kyle Barraclough,Miami Marlins®,
262,Eddie Rosario,Minnesota Twins®,
263,Alex Wood,Los Angeles Dodgers®,

264,Carl Edwards Jr.,Chicago Cubs®,
265,Carlos Martinez,St. Louis Cardinals®,
267,Trevor Bauer,Cleveland Indians®,
268,Kyle Schwarber,Chicago Cubs®,
269,Ken Giles,Houston Astros®,
270,Matt Adams,Atlanta Braves,
271,Christian Vazquez,Boston Red Sox®,
272,Matt Moore,San Francisco Giants®,
274,Jon Gray,Colorado Rockies,
275,Mike Trout,Los Angeles Angels,
276,Trevor Story,Colorado Rockies,
277,Russell Martin,Toronto Blue Jays®,
279,Jose Peraza,Cincinnati Reds®,
280,Raisel Iglesias,Cincinnati Reds®,
281,Cory Spangenberg,San Diego Padres,
282,Francisco Cervelli,Pittsburgh Pirates®,
283,Brett Phillips,Milwaukee Brewers,
285,Ian Kinsler,Los Angeles Angels,
286,Chris Archer,Tampa Bay Rays®,
287,Andrew Miller,Cleveland Indians®,
288,Jake Arrieta,Chicago Cubs®,
289,Dellin Betances,New York Yankees®,
290,Jose Berrios,Minnesota Twins®,
291,Jose Ramirez,Cleveland Indians®,
293,Buster Posey,San Francisco Giants®,
294,J.D. Martinez,Arizona Diamondbacks®,
296,Reynaldo Lopez,Chicago White Sox®,
299,Andrew Heaney,Los Angeles Angels,
300,Ichiro,Miami Marlins®,
301,Robinson Cano,Seattle Mariners,
302,Matt Olson,Oakland Athletics,
303,Luis Severino,New York Yankees®,
305,Josh Bell,Pittsburgh Pirates®,
306,Odubel Herrera,Philadelphia Phillies®,
307,David Robertson,New York Yankees®,
308,James Shields,Chicago White Sox®,
309,Charlie Morton,Houston Astros®,
310,Kyle Freeland,Colorado Rockies,
311,Jed Lowrie,Oakland Athletics,
312,Justin Turner,Los Angeles Dodgers®,
313,Corey Knebel,Milwaukee Brewers,
315,Sean Doolittle,Washington Nationals®,
316,Chad Green,New York Yankees®,
317,Taylor Rogers,Minnesota Twins®,
318,Lance McCullers,Houston Astros®,
319,Brandon Belt,San Francisco Giants®,
320,Paul DeJong,St. Louis Cardinals®,Rookie Cup
322,Nelson Cruz,Seattle Mariners,
324,David Price,Boston Red Sox®,
325,Edwin Encarnacion,Cleveland Indians®,
326,Daniel Murphy,Washington Nationals®,
327,Yasiel Puig,Los Angeles Dodgers®,

328,Avisail Garcia,Chicago White Sox®,
329,Aaron Altherr,Philadelphia Phillies®,
330,Mookie Betts,Boston Red Sox®,
332,Franklin Barreto,Oakland Athletics,
333,Jedd Gyorko,St. Louis Cardinals®,
334,Zack Godley,Arizona Diamondbacks®,
335,Nomar Mazara,Texas Rangers®,
336,Howie Kendrick,Washington Nationals®,
337,Byron Buxton,Minnesota Twins®,
338,Alex Colome,Tampa Bay Rays,
340,Carlos Santana,Cleveland Indians®,
341,Christian Yelich,Miami Marlins®,
342,Jacob Faria,Tampa Bay Rays,
343,Martin Maldonado,Los Angeles Angels,
344,Manny Pina,Milwaukee Brewers,Rookie Cup
345,Robbie Ray,Arizona Diamondbacks®,
346,Marcus Semien,Oakland Athletics,
347,Dylan Bundy,Baltimore Orioles®,
348,German Marquez,Colorado Rockies,Rookie Cup
349,Dustin Pedroia,Boston Red Sox®,
350,Yan Gomes,Cleveland Indians®,
351,Nolan Arenado,Colorado Rockies,
352,Jorge Alfaro,Philadelphia Phillies®,
353,Pat Valaika,Colorado Rockies,
354,Felipe Rivero,Pittsburgh Pirates®,
355,Brandon Kintzler,Washington Nationals®,
356,Brian Dozier,Minnesota Twins®,
357,Lucas Giolito,Chicago White Sox®,
359,Wilmer Difo,Washington Nationals®,
360,George Springer,Houston Astros®,
363,Ian Kennedy,Kansas City Royals®,
364,Michael Conforto,New York Mets®,
365,Matt Chapman,Oakland Athletics,
366,Chris Taylor,Los Angeles Dodgers®,
367,Greg Bird,New York Yankees®,
368,Jason Heyward,Chicago Cubs®,
369,Paul Goldschmidt,Arizona Diamondbacks®,
370,Melky Cabrera,Kansas City Royals®,
371,Brad Brach,Baltimore Orioles®,
372,Michael Taylor,Washington Nationals®,
373,Enrique Hernandez,Los Angeles Dodgers®,
374,Austin Hedges,San Diego Padres,
375,Whit Merrifield,Kansas City Royals®,
376,Manny Margot,San Diego Padres®,
378,Magneuris Sierra,St. Louis Cardinals®,
380,Eric Sogard,Milwaukee Brewers,
381,Carlos Correa,Houston Astros®,
382,Michael Fulmer,Detroit Tigers®,
383,Jose de Leon,Tampa Bay Rays,
384,Jake Lamb,Arizona Diamondbacks®,
385,Michael Brantley,Cleveland Indians®,
386,Alex Gordon,Kansas City Royals®,

387,Wil Myers,San Diego Padres®
388,J.T. Realmuto,Miami Marlins®
389,Shelby Miller,Arizona Diamondbacks®
390,Amir Garrett,Cincinnati Reds®
391,Jackie Bradley Jr.,Boston Red Sox®
392,Jerad Eickhoff,Philadelphia Phillies®
393,Marco Estrada,Toronto Blue Jays®
396,Kevin Pillar,Toronto Blue Jays®
397,Evan Longoria,Tampa Bay Rays®
398,J.A. Happ,Toronto Blue Jays®
400,Carlos Gomez,Texas Rangers®
HIGH NUMBERED SHORT PRINT BASE CARDS,,
401 Scooter Gennett,,Cincinnati Reds®
402 Logan Morrison,,Tampa Bay Rays
403 Ben Zobrist,,Chicago Cubs®
404 Drew Pomeranz,,Boston Red Sox®
405 Xander Bogaerts,,Boston Red Sox®
406 Ryan Braun,,Milwaukee Brewers
407 Lewis Brinson,,Milwaukee Brewers
408 Cole Hamels,,Texas Rangers®
409 Kelvin Herrera,,Kansas City Royals®
410 Chad Kuhl,,Pittsburgh Pirates®
411 Albert Almora,,Chicago Cubs®
412 Carlos Gonzalez,,Colorado Rockies
413 Todd Frazier,,New York Yankees®
414 James McCann,,Detroit Tigers®
415 Matt Wieters,,Washington Nationals®
416 Matt Harvey,,New York Mets®
417 Jason Vargas,,Kansas City Royals®
418 Steven Matz,,New York Mets®
419 Brandon Drury,,Arizona Diamondbacks®
420 Martin Perez,,Texas Rangers®
421 Brandon Finnegan,,Cincinnati Reds®
422 Yolmer Sanchez,,Chicago White Sox®
423 Kyle Hendricks,,Chicago Cubs®
424 Kenley Jansen,,Los Angeles Dodgers®
425 Marwin Gonzalez,,Houston Astros®
426 Rich Hill,,Los Angeles Dodgers®
427 Victor Martinez,,Detroit Tigers®
428 Lorenzo Cain,,Kansas City Royals®
429 Mike Leake,,Seattle Mariners
430 Wade Davis,,Chicago Cubs®
431 Dan Straily,,Miami Marlins®
432 Chase Anderson,,Milwaukee Brewers
433 Hyun-Jin Ryu,,Los Angeles Dodgers®
434 Jeimer Candelario,,Detroit Tigers®
435 Brad Ziegler,,Miami Marlins®
436 Carlos Rodon,,Chicago White Sox®
437 Nick Pivetta,,Philadelphia Phillies®
